context_id	context_parts	statement_zh	statement_en	statement_zh_alt	statement_en_alt	evidence_state	citation_ref	source_id	licence_note	dimension_effects	owner_reviewed
C0_POUR_OVER_V60	C0:pour_over_v60	粉床细粉迁移引发微观通道效应时，局部过萃会导致中段甜感中断，并在余韵中引入涩感与杂味。	When fines migrate and open micro-channels in the bed, local over-extraction breaks the mid-palate sweetness and brings astringency and off-notes into the finish.	手冲时若细粉在粉床里迁移、形成小通道，局部会过萃：中段的甜感断开，余韵多出涩与杂。	In a pour-over, fines that migrate and open small channels in the bed over-extract locally: the mid-palate sweetness breaks and the finish picks up astringency and off-notes.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra	Author's public blog and self-published book; cited with author attribution, no text reproduced (owner note 2026-09-12)	defect:+0.2|bitter_roasted:+0.2	true
C0_POUR_OVER_V60__C1_LIGHT	C0:pour_over_v60|C1:light	浅烘手冲时，萃取率落在合适区间才有饱满的中段甜感；萃取率不足则酸而空，过高则涩。	For light roasts on pour-over, mid-palate sweetness fills in only inside the right extraction-yield window; under-extraction reads sour and hollow, over-extraction astringent.	浅烘用手冲，甜感是否饱满取决于萃取率：偏低时酸而单薄，偏高时发涩。	With a light roast on pour-over, whether the sweetness fills in depends on extraction yield: too low reads sour and thin, too high turns astringent.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra	Author's public blog and self-published book; cited with author attribution, no text reproduced (owner note 2026-09-12)	sweetness:+0.3	true
C0_ESPRESSO__C1_MEDIUM_DARK	C0:espresso|C1:medium_dark	中深烘意式在高压下通道效应更敏感：粉饼不均会同时出现欠萃的酸与过萃的苦。	Medium-dark espresso is more sensitive to channeling under pressure: an uneven puck shows under-extracted sourness and over-extracted bitterness at once.	中深烘做意式时，粉饼稍不均匀就会同时出现欠萃的酸和过萃的苦，因为高压放大了通道效应。	Medium-dark espresso shows both under-extracted sourness and over-extracted bitterness as soon as the puck is uneven, because pressure amplifies channeling.	LITERATURE_CLAIM	Coffee Ad Astra (Jonathan Gagné) — physics of coffee extraction — https://coffeeadastra.com/ ; The Physics of Filter Coffee, ISBN 978-0-578-95028-0	coffee_ad_astra	Author's public blog and self-published book; cited with author attribution, no text reproduced (owner note 2026-09-12)	bitter_roasted:+0.2	true
C0_POUR_OVER_V60	C0:pour_over_v60	快萃与较高水温优先溶解极性较高的有机酸分子，前段酸质与花果香先被释放。	Fast extraction at higher water temperature dissolves the more polar organic acids first, so acidity and floral-fruit notes lead.			LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI / link pending	uc_davis_coffee_center	Academic citation — pending: the cited DOI does not resolve to a coffee paper (external check 2026-09-12)	acidity:+0.3	true
C0_ESPRESSO	C0:espresso	研磨度过细会加速大分子绿原酸内酯的释放，从而增加尾段苦感；高压萃取同时带出更多油脂与醇厚度。	Too fine a grind accelerates the release of large chlorogenic-acid lactones and adds late bitterness; pressure extraction also carries more oils and body.			LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI / link pending	uc_davis_coffee_center	Academic citation — pending: the cited DOI does not resolve to a coffee paper (external check 2026-09-12)	bitter_roasted:+0.3|body:+0.3	true
C0_COLD_BREW	C0:cold_brew	低温长时萃取下，挥发性酸与酸质通常更弱，感官图谱偏向甜感与圆润。	Under long, cold extraction the volatile acids and acidity are usually weaker; the sensory map shifts toward sweetness and roundness.			LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI / link pending	uc_davis_coffee_center	Academic citation — pending: the cited DOI does not resolve to a coffee paper (external check 2026-09-12)	acidity:-0.3|sweetness:+0.2|body:+0.1	true
C0_FRENCH_PRESS	C0:french_press	浸泡式萃取与金属滤网让更多细粉与油脂进入杯中，醇厚度上升、干净度下降。	Immersion brewing through a metal filter passes more fines and oils: more body, less clarity.			LITERATURE_CLAIM_NEEDS_REVERIFICATION	UC Davis Coffee Center — brewing kinetics and sensory maps — DOI / link pending	uc_davis_coffee_center	Academic citation — pending: the cited DOI does not resolve to a coffee paper (external check 2026-09-12)	body:+0.3	true
C2_variety_GESHA	C2_variety:gesha	瑰夏（Gesha）基因决定了其高挥发性单萜烯（如芳樟醇）的高表达上限，浅烘焙下呈现高锐白花与单醇果酸。	The Gesha genotype sets a high ceiling for volatile monoterpenes such as linalool; at light roast it reads as sharp white florals and clean, single-note fruit acidity.			LITERATURE_CLAIM_NEEDS_REVERIFICATION	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon	Official resource page offers free download and printing of copies for personal use; no CC BY-SA statement found on the page — formal terms to be confirmed (external check 2026-09-12)	floral:+0.4|acidity:+0.3	true
C1_LIGHT	C1:light	浅烘保留品种的花香与果酸参照物（花香、柑橘酸、单醇甜感），焦糖化产物尚未主导。	Light roasting keeps the variety's floral and fruit-acid references (florals, citric acidity, clean sweetness) before caramelisation products take over.	在浅烘阶段，词汇表里属于品种本身的参照物（花香、柑橘酸、干净的甜）还在，焦糖化的味道尚未占上风。	At light roast the variety's own references in the lexicon (florals, citric acidity, clean sweetness) are still present; caramelisation has not taken over.	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon	Official resource page offers free download and printing of copies for personal use; no CC BY-SA statement found on the page — formal terms to be confirmed (external check 2026-09-12)	floral:+0.3|acidity:+0.3|sweetness:-0.1	true
C1_MEDIUM	C1:medium	中烘时焦糖化与美拉德参照物（红糖、坚果、可可）与残余果酸达到平衡。	At medium roast the caramelisation and Maillard references (brown sugar, nut, cocoa) balance the remaining fruit acidity.	中烘让红糖、坚果、可可这类烘焙参照物与剩下的果酸大致平衡。	Medium roast brings the roast references (brown sugar, nut, cocoa) into rough balance with the fruit acidity that remains.	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon	Official resource page offers free download and printing of copies for personal use; no CC BY-SA statement found on the page — formal terms to be confirmed (external check 2026-09-12)	sweetness:+0.2|nutty_chocolate:+0.2	true
C1_DARK	C1:dark	深烘下花香与果酸参照物被烘烤参照物（烟熏、焦糖苦、灰烬）覆盖。	At dark roast the floral and fruit-acid references are covered by roast references (smoke, burnt caramel, ash).	到了深烘，烟熏、焦糖苦、灰烬这些烘烤参照物盖过了花香与果酸。	By dark roast the roast references (smoke, burnt caramel, ash) cover the florals and the fruit acidity.	LITERATURE_CLAIM	World Coffee Research — Sensory Lexicon / Varieties Catalog — https://worldcoffeeresearch.org/resources/sensory-lexicon	wcr_sensory_lexicon	Official resource page offers free download and printing of copies for personal use; no CC BY-SA statement found on the page — formal terms to be confirmed (external check 2026-09-12)	bitter_roasted:+0.4|acidity:-0.3|floral:-0.3	true
