canonical_concept_id	acidity	sweetness	body	floral	fruity	nutty_chocolate	fermented_winey	bitter_roasted	spice	herbal_green	woody_earthy	defect	coverage_state	coverage_state_8d	basis	owner_reviewed
sensory.acetic_vinegar	0.5	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.alcoholic	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.almond	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.anise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.apple	0.5	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.ash	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.3	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.astringent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.3	MAPPED_12D	PARTIAL_TEXTURE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.baked_bread	0.0	0.2	0.0	0.0	0.0	0.5	0.0	0.3	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.banana	0.0	0.3	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.bell_pepper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	MAPPED_12D	UNMAPPED_GREEN	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.bergamot	0.5	0.0	0.0	0.5	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.bitter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.black_pepper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.black_tea	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.3	0.0	0.4	0.3	0.0	MAPPED_12D	PARTIAL_TEA	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.blackberry	0.3	0.0	0.0	0.0	0.9	0.0	0.2	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.blackcurrant	0.5	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.blueberry	0.0	0.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.brown_sugar	0.0	1.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.burnt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.3	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.butter	0.0	0.3	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.caramel	0.0	0.9	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cardamom	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cardboard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	MAPPED_12D	UNMAPPED_DEFECT	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cedar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	1.0	0.0	MAPPED_12D	PARTIAL_WOODY	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cereal_grain	0.0	0.2	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.chamomile	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cherry	0.4	0.3	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAPPED	MAPPED	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.cinnamon	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
sensory.clove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.0	0.0	0.0	MAPPED_12D	UNMAPPED_SPICE	OPERATOR_DRAFT_2026-09-12_FROM_SCA_LEXICON_FAMILIES;12D_PER_OWNER_D-OPEN-1;OWNER_STEP1_APPROVAL_2026-09-12_R3-D6_ROW_CORRECTIONS_WELCOME	true
